vmax,load_scale,pv_scale,status,objective,maxgap,maxratio,n_at_vmax,min_branch_P,vpeak,exact,class,fail_reason
1.05,0.4,0.9,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.05,0.4,1.0,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.05,0.4,1.1,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.05,0.4,1.2,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.05,0.4,1.4,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.05,0.4,1.6,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.05,0.4,2.0,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.075,0.1,0.3,SOLVED,-958.4661252803462,1.023150011719362e-8,0.0093002912301882,0,-0.3896529724806896,1.0259068995957974,true,exact,
1.075,0.1,0.5,SOLVED,-945.6907507127023,1.4276070526360492e-8,0.01399536848597677,0,-0.732368444135965,1.050752406798957,true,exact,
1.075,0.1,0.7,SOLVED,-933.2315324829427,5.256258741112444e-9,0.005163648121739622,0,-1.0593128336682958,1.0739882911810608,true,exact,
1.075,0.1,0.9,SOLVED,-921.7421981708826,2.2535135968481756,8702.020869945378,2,-1.1779770250809758,1.0749999999784277,false,inexact,
1.075,0.1,1.0,SOLVED,-916.5158450386118,4.182317001456529,9183.122576943282,2,-1.2639699842085352,1.0749999999620243,false,inexact,
1.075,0.1,1.1,SOLVED,-911.4122259671786,6.067305562684741,9346.184074874236,3,-1.3476487156321497,1.0749999999690933,false,inexact,
1.075,0.1,1.2,SOLVED,-906.5634897608319,7.973041954061198,9418.950942112562,4,-1.4346000171973936,1.0749999998786073,false,inexact,
1.075,0.1,1.4,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 3, t=12: p_ch·p_dch = 1.7901486477198867e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threa"
1.075,0.1,1.6,SOLVED,-889.5205399620438,13.714481029847592,9692.820424469759,6,-1.7257087873517407,1.0749999999828546,false,inexact,
1.075,0.1,2.0,SOLVED,-874.4901782010141,13.597220858605597,9851.92223914985,7,-1.886772452290761,1.0749999999944133,false,inexact,
1.075,0.15,0.3,SOLVED,-965.275595702183,2.2274496629115514e-8,0.020786999461638686,0,-0.3319177609509043,1.0202125873895425,true,exact,
1.075,0.15,0.5,SOLVED,-952.4187053208159,8.659238435668182e-9,0.007064461706081203,0,-0.6768006054846282,1.0453358795283305,true,exact,
1.075,0.15,0.7,SOLVED,-939.8846374062904,6.674744046537839e-9,0.0054454536302362905,0,-1.0056140687327364,1.068809274594721,true,exact,
1.075,0.15,0.9,SOLVED,-928.073790837059,1.3620832206600006,8001.431347953472,1,-1.1570537840468438,1.074999999961938,false,inexact,
1.075,0.15,1.0,SOLVED,-922.6075307784948,3.310687478275374,8994.004931638334,2,-1.2442804969855175,1.0749999999569122,false,inexact,
1.075,0.15,1.1,SOLVED,-917.455098260606,5.205993432944102,9257.685925335598,2,-1.3283723481459158,1.0749999999795468,false,inexact,
1.075,0.15,1.2,SOLVED,-912.4017436259929,7.084640285401073,9365.266284289239,4,-1.4124998502921946,1.0749999999678936,false,inexact,
1.075,0.15,1.4,SOLVED,-903.2422971746379,11.03068786426627,9422.516930969246,4,-1.5847766361444349,1.0749999999074202,false,inexact,
1.075,0.15,1.6,SOLVED,-894.7466813596396,13.61276500747471,9497.78226378215,6,-1.7216066013608506,1.0749999999150228,false,inexact,
1.075,0.15,2.0,SOLVED,-879.3633691014786,13.462752162467366,9853.596053918936,7,-1.8840745512882884,1.0749999999721938,false,inexact,
1.075,0.2,0.3,SOLVED,-972.1423234596266,1.598453326911173e-8,0.015354127322922309,0,-0.27373252010944876,1.0144550117000655,true,exact,
